URI de la canción,Nombre de la canción,URI(s) del artista,Nombre(s) del artista,URI del álbum,Nombre del álbum,URI(s) del artista del álbum,Nombre(s) del artista del álbum,Fecha de lanzamiento del álbum,URL de la imagen del álbum,Número de disco,Número de la canción,Duración de la canción (ms),URL de vista previa de la canción,Explícito,Popularidad,ISRC,Añadido por,Añadido en
spotify:track:47k2XjiV3kdyNS3xUTatTD,Lightning at the Gates,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,spotify:album:4OgDOuY3NUpKbG0YSYl2kv,The Duelist,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,2025-07-25,https://i.scdn.co/image/ab67616d0000b27323bf26cfa3dc570de664b7af,1,2,252000,https://p.scdn.co/mp3-preview/82ecafe366189358e02582289fc53a1fd5d73480?cid=9950ac751e34487dbbe027c4fd7f8e99,False,47,SE6HE2500108,,2025-08-17T11:08:58Z
spotify:track:4Xnuh5fEHbHpxI3leaQSLN,Live Again,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,spotify:album:1jVQ4lEhdJ3fOMl9JZGEI3,DEAD BEATS,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,2020-10-20,https://i.scdn.co/image/ab67616d0000b273ee055bf73a04147819179bde,1,4,210000,https://p.scdn.co/mp3-preview/7af759be7f2ec0dc2d21ac0a2b231baa63174afd?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,JPV752003296,,2025-09-22T08:02:32Z
spotify:track:1VNWaY3uNfoeWqb5U8x2QX,Lonely Day,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,System Of A Down,spotify:album:3QxX3NbWyLlLG6lP1xveL3,Hypnotize,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,System Of A Down,2005-11-22,https://i.scdn.co/image/ab67616d0000b273f5e7b2e5adaa87430a3eccff,1,11,167906,https://p.scdn.co/mp3-preview/578e8890a2f1e3f61007394f18a76114eb121a8c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,84,USSM10505340,,2025-11-13T23:06:03Z
spotify:track:0m7tsUMMRz4hN4LrhkaXFI,Los Rockeros Van al Infierno,spotify:artist:0R5dtryP4tKLlMZA0vhBvF,Barón Rojo,spotify:album:3nrO9z4eydo0BYkvZWPQnb,Cueste Lo Que Cueste,spotify:artist:0R5dtryP4tKLlMZA0vhBvF,Barón Rojo,1999,https://i.scdn.co/image/ab67616d0000b2737f6a941ceb21173d58f08f36,1,10,256626,https://p.scdn.co/mp3-preview/d445ec203a6a3832229bd13eedc1ca46a63b2db6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,39,ES5109900095,,2025-08-16T14:34:17Z
spotify:track:60Ylk6grjBuP7j0McQeGAm,Los! Los! Los! (Saga of Tanya the Evil),spotify:artist:4OyfJQbeMadW8upNULEBoK,Selphius,spotify:album:3bvf974eIl5rLmxhQYClKK,Los! Los! Los! (Saga of Tanya the Evil),"spotify:artist:4OyfJQbeMadW8upNULEBoK, spotify:artist:2DWeXyBXOp31B6JTlmAPdr","Selphius, Seruji",2019-04-20,https://i.scdn.co/image/ab67616d0000b2736d4858850377caa5bca40643,1,1,217360,https://p.scdn.co/mp3-preview/b162b1f918f1090ae57f98e244a2efe2d4f546f4?cid=9950ac751e34487dbbe027c4fd7f8e99,True,44,QZES61991259,,2024-04-23T04:43:02Z
spotify:track:2Dg6uXkMBzsPKVcIlAo0qt,LOST MEDIA,spotify:artist:7HlGcG4ofwpGrTH2LS9y4Q,MonochroMenace,spotify:album:0YCubSM2TII9p7XB46FoLx,LOST MEDIA,spotify:artist:7HlGcG4ofwpGrTH2LS9y4Q,MonochroMenace,2025-12-14,https://i.scdn.co/image/ab67616d0000b273f444985f27fe893bb8c07204,1,1,198687,https://p.scdn.co/mp3-preview/4a486d103f9ed49bfd38f06e9139216b9f19bc5d?cid=9950ac751e34487dbbe027c4fd7f8e99,False,45,QT6F92565588,,2025-12-16T09:31:23Z
spotify:track:285pBltuF7vW8TeWk8hdRR,Lucid Dreams,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,spotify:album:6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,2018-12-10,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,1,3,239835,https://p.scdn.co/mp3-preview/85ba40ef782e993bac9ee1c945f90c123b11ffec?cid=9950ac751e34487dbbe027c4fd7f8e99,True,83,USUG11800685,,2024-12-06T22:10:05Z
spotify:track:63yoRZd5zl6Ah30hfDm97k,M@GICAL CURE! LOVE SHOT! (feat. Hatsune Miku),"spotify:artist:7FrCrchJaoLmKcn3jcGWoX, spotify:artist:6pNgnvzBa6Bthsv8SrZJYl","SAWTOWNE, Hatsune Miku",spotify:album:6GfiQAOysgD6k8FZ8TBvG0,M@GICAL CURE! LOVE SHOT!,"spotify:artist:7FrCrchJaoLmKcn3jcGWoX, spotify:artist:6pNgnvzBa6Bthsv8SrZJYl","SAWTOWNE, Hatsune Miku",2024-03-19,https://i.scdn.co/image/ab67616d0000b273a2f3d4936b6f398d90949081,1,1,201875,https://p.scdn.co/mp3-preview/f4a77fbf913dacffd323d2f132d3772aebac4405?cid=9950ac751e34487dbbe027c4fd7f8e99,False,66,JP92Q2400289,,2025-11-11T11:25:00Z
spotify:track:1H2pPtoPS8kNlqCN7HfT6g,Machine Love,spotify:artist:790JtoMXsEVQqzkerV3xuf,Jamie Paige,spotify:album:5VEgJeGRLD1U9p0FIaiWp8,Constant Companions,spotify:artist:790JtoMXsEVQqzkerV3xuf,Jamie Paige,2024-10-25,https://i.scdn.co/image/ab67616d0000b27356021e26fd463e7c1d062a9d,1,11,216744,https://p.scdn.co/mp3-preview/c63d7a9df776663e60f7a5f204c638f6396dfe5c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,69,QZPJ32342607,,2025-11-06T15:12:39Z
spotify:track:5a6SBFado9c4MmKQlXnOR2,MachineGun Kiss - Full Spec Edition,spotify:artist:7C0PO4A4azl0xFMrE1EVDp,桐生一馬(黒田崇矢),spotify:album:1F4S1ywUKiPmgbg66qw1Xj,Kazuma Kiryu Karaoke hit song collection(Ryu ga gotoku7 hikari to yami no yukue),spotify:artist:4ShgdWtm52xvEr8uYmT0V6,SEGA SOUND TEAM,2020-01-16,https://i.scdn.co/image/ab67616d0000b2736cedf06b77c1a36cf6130140,1,5,270337,https://p.scdn.co/mp3-preview/9a411c6e76f44105ea8862d25e0fd541ad288777?cid=9950ac751e34487dbbe027c4fd7f8e99,False,44,JPR501929940,,2024-12-19T12:42:07Z
spotify:track:5gWtkdgdyt5bZt9i6n3Kqd,Mad Hatter,spotify:artist:63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,spotify:album:5JpH5T1sCYnUyZD6TM0QaY,Cry Baby (Deluxe Edition),spotify:artist:63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,2015-08-14,https://i.scdn.co/image/ab67616d0000b2733899712512f50a8d9e01e951,1,13,201520,https://p.scdn.co/mp3-preview/4b8621bf28a18caa905494bc453c6b53b138d703?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,USAT21501943,,2025-09-13T18:56:21Z
spotify:track:30VSsTaW7bfvf8tlfxA7Eq,MADURO,spotify:artist:77avA3qzF6itxvXlb2mmNy,Rucka Rucka Ali,spotify:album:4WjN6thygrpQxBKiQo0NFs,MADURO,spotify:artist:77avA3qzF6itxvXlb2mmNy,Rucka Rucka Ali,2026-02-04,https://i.scdn.co/image/ab67616d0000b2737884b570efe51e36d44bb20c,1,1,209991,https://p.scdn.co/mp3-preview/879b0c431dd3d8e21065836def2dafc10c0f5bb1?cid=9950ac751e34487dbbe027c4fd7f8e99,True,34,QZL382626624,,2026-02-04T05:58:06Z
spotify:track:6hsBxoVdj9mg9m4tHlYE5K,MAGIC,spotify:artist:6mEQK9m2krja6X1cfsAjfl,Ado,spotify:album:2wzfAqKAR8tXWovPNbjqLM,MAGIC,spotify:artist:6mEQK9m2krja6X1cfsAjfl,Ado,2025-10-30,https://i.scdn.co/image/ab67616d0000b273f060a9f196568f5bdd704cd4,1,1,172291,https://p.scdn.co/mp3-preview/533d6176424a8f91c3fcec9365685d70d2ac17f2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,70,JPPO02503167,,2025-11-17T22:58:37Z
spotify:track:1t1g8mx2GQLX2UUk5azWAu,Maid of Steel,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,spotify:album:1jjx7U3tayhJTytJVBj0WY,Legends,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,2025-10-17,https://i.scdn.co/image/ab67616d0000b2732015d006804756df2e271b74,1,6,197000,https://p.scdn.co/mp3-preview/8aaf0a7b8003929d4cdedaba4db6cfa9e8e8d00f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,58,SE6HE2500106,,2026-01-06T18:35:35Z
spotify:track:6ADAhVnCCdv06G30KbLO1C,Make ’Em Afraid,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,spotify:album:3Hcq6j9EUIBngvAOxEDeDj,SHINIGAMI NOTE,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,2022-07-19,https://i.scdn.co/image/ab67616d0000b273a585bb9d401a44a0a21a5e30,1,4,209053,https://p.scdn.co/mp3-preview/eb3d0a3626b809df2f5a6cd6c6ce3f00e2be9760?cid=9950ac751e34487dbbe027c4fd7f8e99,False,41,JPPO02202106,,2024-04-17T04:59:57Z
spotify:track:4w7mvAMKo7DYsohMNvm2xW,Maldita Muerte Pt. II,spotify:artist:7eYOEFdxJNQ1Pb8DKAGQOR,ReyMenn,spotify:album:4jMc7tkCYFjcWtwoZzUWED,Tacos De Muerte,spotify:artist:7eYOEFdxJNQ1Pb8DKAGQOR,ReyMenn,2024-07-06,https://i.scdn.co/image/ab67616d0000b273ad146071a2a5defbe32e1c20,1,3,283764,https://p.scdn.co/mp3-preview/81a4318ba3047d33699b58c12da390a50dd59cfe?cid=9950ac751e34487dbbe027c4fd7f8e99,True,30,QZES52409732,,2026-01-13T12:36:39Z
spotify:track:1716lvEJYr3XWpHNnkE0Xv,Me Llueven Las Barbies,spotify:artist:07UfFVZ1XRWV7TRNWbt1pU,TRIP MUSIC,spotify:album:3Uy5dCqbvDxpxN6cLUtela,Me Llueven Las Barbies,spotify:artist:07UfFVZ1XRWV7TRNWbt1pU,TRIP MUSIC,2024-10-31,https://i.scdn.co/image/ab67616d0000b27393de78d78596a4d60bdc749f,1,1,145162,https://p.scdn.co/mp3-preview/793810319ee780305c679e01ff64039560eb9767?cid=9950ac751e34487dbbe027c4fd7f8e99,True,45,SE6SA2441087,,2024-11-12T14:19:01Z
spotify:track:6oQd9KEbRMERESY1pftFyn,Medicine,spotify:artist:7uugnrrGcHNunhme3bP1y3,Sasuke Haraguchi,spotify:album:3drg6tbDTAYqmpjejScu3f,Medicine,spotify:artist:7uugnrrGcHNunhme3bP1y3,Sasuke Haraguchi,2024-03-06,https://i.scdn.co/image/ab67616d0000b27369fc8b848dc3ccb2824b18de,1,1,120352,https://p.scdn.co/mp3-preview/27807e625fb73a2a7b71567a6c2c57110e90ef43?cid=9950ac751e34487dbbe027c4fd7f8e99,False,62,TCJPZ2455806,,2025-11-11T11:26:47Z
spotify:track:3Y5q0JDCRzjNlMRRrLK0RF,MERA MERA,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,spotify:album:2kgTd0HIj4SUtlmTD6kuzo,MERA MERA,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,2022-05-17,https://i.scdn.co/image/ab67616d0000b27320c75e3fe3dd00e1b1ba8129,1,1,183434,https://p.scdn.co/mp3-preview/72a2cd70d28f45939c39a63a27856215b6ffd539?cid=9950ac751e34487dbbe027c4fd7f8e99,True,46,JPPO02201556,,2024-08-23T13:10:30Z
spotify:track:0czfM0RYKuIc5KIeSNzCSQ,Metal Crüe,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,spotify:album:2LSxUo4qDZVxSsQvK0MUm4,Attero Dominatus (Re-Armed),spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,2010-09-24,https://i.scdn.co/image/ab67616d0000b2733844e6bc7a8927a93aa4a10e,1,9,222506,https://p.scdn.co/mp3-preview/c7fa99e364cb4537198c67fafa94018dbc1a1b15?cid=9950ac751e34487dbbe027c4fd7f8e99,False,41,SE2EG1000209,,2024-05-09T05:42:11Z
spotify:track:50laUw3RBpsYCJpCFRNZin,Metal Machine,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,spotify:album:0XUH04WpLqnB0Q7Hep3aR0,Primo Victoria (Re-Armed),spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,2010-09-24,https://i.scdn.co/image/ab67616d0000b2733614e26f0db450a2ed55a4ca,1,9,262680,https://p.scdn.co/mp3-preview/2ac36674830415977c035fd8b4975ec1eca22ab6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,45,SE2EG1000109,,2024-05-06T04:56:04Z
spotify:track:3gRARrZHQPKOB8xA3dYP66,"Metal Medley - Live at the Sabaton Cruise, Dec. 2010",spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,spotify:album:4p79MxKz7jd6lQ1xDwD8wH,World War Live - Battle of the Baltic Sea,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,2011-08-19,https://i.scdn.co/image/ab67616d0000b2737369afa184b3ea6cf9cd8802,1,14,309560,https://p.scdn.co/mp3-preview/6e821da483eef57375d9413c2dfa2634f5084212?cid=9950ac751e34487dbbe027c4fd7f8e99,False,21,SE2EG1100114,,2024-05-09T05:42:41Z
spotify:track:0lOwS6th3vIY8C0BnlStT4,Metal Ripper,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,spotify:album:6ipBiXi944SLCxJhLFFS37,Coat of Arms,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,2010-05-21,https://i.scdn.co/image/ab67616d0000b2736c7afe9024bc69f7ea1956b2,1,10,230800,https://p.scdn.co/mp3-preview/a94abc6c6c5270b1f03bf27f1f2f454d0c1272bc?cid=9950ac751e34487dbbe027c4fd7f8e99,False,40,DED831000165,,2025-03-05T21:52:46Z
spotify:track:64tkmxsz9nTd90iJy1tpc0,Metal Trilogy,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,spotify:album:4tnxcxBbPUgxvpxQ4exQBY,Kingdom Come,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,2021-07-16,https://i.scdn.co/image/ab67616d0000b2731ac725c6cf5ba689f790ae57,1,2,258026,https://p.scdn.co/mp3-preview/842bf5d07547bd5f20ff6bdca8b16720dd685c13?cid=9950ac751e34487dbbe027c4fd7f8e99,True,39,SE6HE2100402,,2025-03-05T21:51:58Z
spotify:track:03eAXPNtAt7EKogEpfyVT0,Mi Vecino Jose,spotify:artist:3jRBmzMISfVA22kSiB0VCS,ING,spotify:album:69rS8HACY6SK0reJPRriYm,Mi Vecino Jose,spotify:artist:3jRBmzMISfVA22kSiB0VCS,ING,2024-08-01,https://i.scdn.co/image/ab67616d0000b2739d7f18d701db76f4d9bf02cd,1,1,84040,https://p.scdn.co/mp3-preview/5df0c295635a96b2496928d503325557e536f550?cid=9950ac751e34487dbbe027c4fd7f8e99,False,22,QZTAZ2480446,,2024-08-26T20:40:16Z
spotify:track:7aux5UvnlBDYlrlwoczifW,Miku,"spotify:artist:2UwJRAgSOi1zcLkvUNc8XL, spotify:artist:6pNgnvzBa6Bthsv8SrZJYl","Anamanaguchi, Hatsune Miku",spotify:album:4Wcp7Z67RyIbAYl6jmOkLL,Miku,"spotify:artist:2UwJRAgSOi1zcLkvUNc8XL, spotify:artist:6pNgnvzBa6Bthsv8SrZJYl","Anamanaguchi, Hatsune Miku",2016-05-24,https://i.scdn.co/image/ab67616d0000b273154c3562dc92bcd302c72c9c,1,1,223124,https://p.scdn.co/mp3-preview/e015ea09e3afbcde697903b5111178b808ed61e5?cid=9950ac751e34487dbbe027c4fd7f8e99,False,69,USA2P1654313,,2025-10-20T14:00:21Z
spotify:track:6KsMmSr7Z0wlIOXbnVChUZ,MIKU-STYLE,spotify:artist:3CWIsjd55ioEyfKcI4REBi,R O C K Y,spotify:album:59SygKQ36cFN6gif1vdgFm,MIKU-STYLE,spotify:artist:3CWIsjd55ioEyfKcI4REBi,R O C K Y,2025-11-11,https://i.scdn.co/image/ab67616d0000b273663bd467bc8675391f3b0932,1,1,156827,https://p.scdn.co/mp3-preview/6f1ff2a062f817482ab8ff30ac741b57eedb25b3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,41,QT3FH2504059,,2025-11-22T19:38:43Z
spotify:track:0kFj7et49LhQG4pQPFwi4q,Mimukauwa Nice Try,spotify:artist:1U0xy9KHRDwpM08aIJWfTN,nunununununununununununununununununununununununununununununununununununununununununununununununununununununununununununununununununununununu,spotify:album:72O8jLQRKfW2vw0aVoMbn7,Mimukauwa Nice Try,spotify:artist:1U0xy9KHRDwpM08aIJWfTN,nunununununununununununununununununununununununununununununununununununununununununununununununununununununununununununununununununununununu,2024-12-10,https://i.scdn.co/image/ab67616d0000b27393de8a6638cf6e0f7c9abc19,1,1,205069,https://p.scdn.co/mp3-preview/1918b1557237a9728cb9415a2cf9b74a63c78f87?cid=9950ac751e34487dbbe027c4fd7f8e99,False,0,TCJPC2479383,,2024-12-11T13:49:27Z
