URI de la canción,Nombre de la canción,URI(s) del artista,Nombre(s) del artista,URI del álbum,Nombre del álbum,URI(s) del artista del álbum,Nombre(s) del artista del álbum,Fecha de lanzamiento del álbum,URL de la imagen del álbum,Número de disco,Número de la canción,Duración de la canción (ms),URL de vista previa de la canción,Explícito,Popularidad,ISRC,Añadido por,Añadido en
spotify:track:2z71jdeVcC782NgsYZ6N8q,Paranoid (2012 Remaster),spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,spotify:album:7LGVdC9fFwgWYaIrZwsSv6,Paranoid,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,1970-09-18,https://i.scdn.co/image/ab67616d0000b2739f0a9474c47a841c6f03e990,1,2,166693,https://p.scdn.co/mp3-preview/40f6a93d8c66dd084c022f245e715f778c69ac0c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,67,USWB11304628,,2026-01-02T00:53:58Z
spotify:track:49L1lsmGUDoDjiA6uZE2ec,PIEGRANDE.,spotify:artist:2k74pCf0NdIPHGCpwocdxG,bosco herrero,spotify:album:7CWm1trLVWOC8srOSnWDBq,SR BISONTEZ.,spotify:artist:2k74pCf0NdIPHGCpwocdxG,bosco herrero,2024-10-06,https://i.scdn.co/image/ab67616d0000b27374784145b69eaa454c0704ea,1,2,300000,https://p.scdn.co/mp3-preview/567941aa6f554d3d0110c94f92b7b7f096c35f74?cid=9950ac751e34487dbbe027c4fd7f8e99,False,33,BK4DA2447704,,2026-01-19T22:32:50Z
spotify:track:19Rr3ODfVAbleAlXhnNG3Z,Poison,spotify:artist:5Dccem9dkRqim9eKHXkSd3,BUNNY,spotify:album:5U8IQqKfTpAAdVtTgwpNTr,Poison,spotify:artist:5Dccem9dkRqim9eKHXkSd3,BUNNY,2024-02-28,https://i.scdn.co/image/ab67616d0000b273b9e630555e17a9d711fad07a,1,1,172653,https://p.scdn.co/mp3-preview/c66403ae4c8b7d85ce259b9862f1637fd50da97b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,32,TCJPZ2408767,,2024-04-19T05:05:28Z
spotify:track:3BqzUoMXksxJZ0dqtPMiWo,Popular Monster,"spotify:artist:1S4xN9nvW5vlFoRBisdxUL, spotify:artist:6nT7RjBCuuggrafnb43vUX","Halocene, Lauren Babic",spotify:album:73OBNhPJKktJ2cQFh0x1VC,Popular Monster,"spotify:artist:1S4xN9nvW5vlFoRBisdxUL, spotify:artist:6nT7RjBCuuggrafnb43vUX","Halocene, Lauren Babic",2021-03-19,https://i.scdn.co/image/ab67616d0000b27351ae2ff2a1a5b861c707033f,1,1,230181,https://p.scdn.co/mp3-preview/e0ca9f6d48cb1546dcc0ece72274dde465405eec?cid=9950ac751e34487dbbe027c4fd7f8e99,True,36,QZDA72161914,,2024-04-19T05:40:42Z
spotify:track:4GssB27iJeqmfGxS94Tfij,Popular Monster,spotify:artist:2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,spotify:album:4gxFqhVYU4wp1XDH1KiIo4,Popular Monster,spotify:artist:2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,2019-11-20,https://i.scdn.co/image/ab67616d0000b2735f4c9262d32be3019e1dda3e,1,1,220537,https://p.scdn.co/mp3-preview/266c356bcd82738fe7aba2edbeca3ad5e7787727?cid=9950ac751e34487dbbe027c4fd7f8e99,True,69,USEP41915005,,2024-05-24T12:10:15Z
spotify:track:2X7EslqXPcenV74mvDJUDO,POTETO CHIP,spotify:artist:1GBhDrmf2fvZOEjKLUobEF,ROMA,spotify:album:6EpGTuPn1bl8EozsVz4ZAP,POTETO CHIP,spotify:artist:1GBhDrmf2fvZOEjKLUobEF,ROMA,2025-10-18,https://i.scdn.co/image/ab67616d0000b2731274ae14f003dda3514b4d7b,1,1,214115,https://p.scdn.co/mp3-preview/78c5c3060d1d29457aba1d157eb7472fbf37d53a?cid=9950ac751e34487dbbe027c4fd7f8e99,True,53,QT3FE2571493,,2025-11-12T07:53:20Z
spotify:track:6O1Kor0zSUKC4nUmmAjJKd,POUND CAKE,spotify:artist:3tQfr3HUAPHG9roF9VN1gE,THOT SQUAD,spotify:album:437IvnqpuiLQWBb8lD1zoC,POUND CAKE,spotify:artist:3tQfr3HUAPHG9roF9VN1gE,THOT SQUAD,2023-11-29,https://i.scdn.co/image/ab67616d0000b273bdda92306576e184c762d3d8,1,1,121500,https://p.scdn.co/mp3-preview/bb0527542caa535ce6fd70dd598ad39c80f55789?cid=9950ac751e34487dbbe027c4fd7f8e99,True,65,QZWFH2312940,,2025-11-09T22:18:30Z
spotify:track:0LXt8IQauov0NMDN2kKmev,Power,spotify:artist:0Repe2EiNjaFAFIukrroUM,Ren,spotify:album:1JigC5BskKiVL1II47Qysi,Power,spotify:artist:0Repe2EiNjaFAFIukrroUM,Ren,2022-04-07,https://i.scdn.co/image/ab67616d0000b273bdb5103f7459d2a7888752d6,1,1,204642,https://p.scdn.co/mp3-preview/134027e4153fe0dc48cc3a79f0a1cf29e5f136ad?cid=9950ac751e34487dbbe027c4fd7f8e99,True,59,TCAGD2215839,,2025-06-11T04:59:05Z
spotify:track:6J3pPfXLujwsWQpvR6XMgC,"PPPP (feat. Hatsune Miku, Kasane Teto)","spotify:artist:51Ce3GImOKK2xAGi3HiNns, spotify:artist:6pNgnvzBa6Bthsv8SrZJYl, spotify:artist:4JX0GdKx8EduY2Ck7qac4H","TAK, Hatsune Miku, Kasane Teto",spotify:album:2YpnTJLH8a1xxEL3HXAWQQ,PPPP,"spotify:artist:51Ce3GImOKK2xAGi3HiNns, spotify:artist:6pNgnvzBa6Bthsv8SrZJYl, spotify:artist:4JX0GdKx8EduY2Ck7qac4H","TAK, Hatsune Miku, Kasane Teto",2025-09-17,https://i.scdn.co/image/ab67616d0000b273e2acdafe9b0c10beeda9a277,1,1,154835,https://p.scdn.co/mp3-preview/9975b484914ecf5c232189d8ab40c7ee8aeac530?cid=9950ac751e34487dbbe027c4fd7f8e99,False,67,QMFME2515427,,2025-10-21T08:17:33Z
spotify:track:5DbAOJ5dYW5A9xBhkeb33t,Primo Victoria,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,spotify:album:0XUH04WpLqnB0Q7Hep3aR0,Primo Victoria (Re-Armed),spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,2010-09-24,https://i.scdn.co/image/ab67616d0000b2733614e26f0db450a2ed55a4ca,1,1,250720,https://p.scdn.co/mp3-preview/8fc06c1347097e7ff0ff54c4d9cbf92ef59d57da?cid=9950ac751e34487dbbe027c4fd7f8e99,False,65,SE2EG1000101,,2024-05-28T04:53:40Z
spotify:track:6FBCbJkOWeDZtlthdK2Fua,Problems,"spotify:artist:00XxMJC3muDfP6L4Qn2h8j, spotify:artist:1ZWRpRdt1rdmbCje8EpxUX","Alterclad, Lili",spotify:album:7pKX3pO1NIDGRu6cv62iGh,Problems,spotify:artist:00XxMJC3muDfP6L4Qn2h8j,Alterclad,2025-11-15,https://i.scdn.co/image/ab67616d0000b273ff9448f35e90ab9afa78c8e1,1,1,249519,https://p.scdn.co/mp3-preview/8f6190e4783bdab0c478da3b687f48da6dd16e8c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,48,QT6EY2512624,,2025-12-17T09:28:43Z
spotify:track:5OvnTxAbvj8WA769CNy9JI,Problems,spotify:artist:00XxMJC3muDfP6L4Qn2h8j,Alterclad,spotify:album:5IOsP13vBcQLQqJOVNifaP,Problems,spotify:artist:00XxMJC3muDfP6L4Qn2h8j,Alterclad,2025-05-30,https://i.scdn.co/image/ab67616d0000b273fa2346892087d07c56ad1d7c,1,1,249519,https://p.scdn.co/mp3-preview/9156705dc12b9f088c29d792c06874941b4bfc44?cid=9950ac751e34487dbbe027c4fd7f8e99,True,30,QZRP52509051,,2025-12-17T09:28:42Z
spotify:track:2zbf1tQ7w5FTd4rQqKGNQT,Problems - Kasane Teto ver.,spotify:artist:00XxMJC3muDfP6L4Qn2h8j,Alterclad,spotify:album:4wUbotp4C5K6d4pmioTHdw,Problems (Kasane Teto ver.),spotify:artist:00XxMJC3muDfP6L4Qn2h8j,Alterclad,2025-11-15,https://i.scdn.co/image/ab67616d0000b2738eda53462203a84ae0764470,1,1,249519,https://p.scdn.co/mp3-preview/1da769e04f1e7ad1a555f0b5105ea7363bb65e92?cid=9950ac751e34487dbbe027c4fd7f8e99,True,52,QT6EY2512662,,2025-11-22T11:35:53Z
spotify:track:4VGR3mr2WbiD0splKGasFc,Providence,spotify:artist:0YHgnSkV3S5mvSSCTRWDi5,Poor Man's Poison,spotify:album:0mV9xVaTWHbakQC10LKtgL,Providence,spotify:artist:0YHgnSkV3S5mvSSCTRWDi5,Poor Man's Poison,2014-01-28,https://i.scdn.co/image/ab67616d0000b273e263f90f4c5d13eadcfe6c04,1,1,183533,https://p.scdn.co/mp3-preview/5a640f91ed45f1d3ff3ace83efd6f38d1b4843bb?cid=9950ac751e34487dbbe027c4fd7f8e99,False,67,TCABT1415392,,2026-01-17T17:22:17Z
spotify:track:1CPM42wmgMyrUCG5GKER0k,Psychosocial - 2012 Remaster,spotify:artist:05fG473iIaoy82BF1aGhL8,Slipknot,spotify:album:2dNADktB0Xh4CHcxRvHvcz,Antennas to Hell (Special Edition),spotify:artist:05fG473iIaoy82BF1aGhL8,Slipknot,2012-07-31,https://i.scdn.co/image/ab67616d0000b273da77dba76fb945fcad684b68,1,17,283773,https://p.scdn.co/mp3-preview/d55438393126478a2a1a3990beca2ff90e187e6a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,47,NLA321292283,,2026-01-04T07:48:54Z
spotify:track:51CXAV2GNNL3deCtcXpCeu,Q,"spotify:artist:1PhE6rv0146ZTQosoPDjk8, spotify:artist:1Spm887PTszc2AoNYpoCld","Mori Calliope, Gawr Gura",spotify:album:2tY2MPx2BIAwqK93HLYkR0,Q,"spotify:artist:1PhE6rv0146ZTQosoPDjk8, spotify:artist:1Spm887PTszc2AoNYpoCld","Mori Calliope, Gawr Gura",2022-02-05,https://i.scdn.co/image/ab67616d0000b2732498bed2820c72442cd91c0a,1,1,159080,https://p.scdn.co/mp3-preview/c27bfdfce45dc50bfc9404d5bc167545bbb83006?cid=9950ac751e34487dbbe027c4fd7f8e99,False,47,JPV752205521,,2025-09-22T15:26:03Z
spotify:track:2J8AouiB7XvghQukf1BCAj,Queen of the Night,"spotify:artist:1PhE6rv0146ZTQosoPDjk8, spotify:artist:0XZGQi9wNsE1z9L0AWhC82","Mori Calliope, 常闇トワ",spotify:album:1qp0L2HjzdKMAXmdQOwZeQ,Queen of the Night,"spotify:artist:1PhE6rv0146ZTQosoPDjk8, spotify:artist:0XZGQi9wNsE1z9L0AWhC82","Mori Calliope, 常闇トワ",2025-07-30,https://i.scdn.co/image/ab67616d0000b2732985ff573b415309f9e7a1e7,1,1,266466,https://p.scdn.co/mp3-preview/9d6b466a0330f31c62f815fbd376cb2f58607e80?cid=9950ac751e34487dbbe027c4fd7f8e99,False,41,JPV752510642,,2025-07-31T15:55:09Z
spotify:track:1SHnqCweVnZAxaUv5zUqdf,Quiero Cafe,spotify:artist:1JYxrWSpmxNWEJPQKwz2rG,Jovany Vázquez,spotify:album:7FJ9yBZHntB4bPdNZNG0GK,Quiero Cafe,spotify:artist:1JYxrWSpmxNWEJPQKwz2rG,Jovany Vázquez,2024-02-23,https://i.scdn.co/image/ab67616d0000b27375d93379962375bd016a61a3,1,1,72927,https://p.scdn.co/mp3-preview/f16eeccdb6a889b6bfda9cb5d23ab49877a43218?cid=9950ac751e34487dbbe027c4fd7f8e99,False,15,USCGJ2443131,,2025-12-11T15:06:36Z
spotify:track:5xsF9hH7BTnX6liiWS8Dfb,Race to the Sea,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,spotify:album:3kB4VjXKKCY7l5xeH113Da,The War to End All Wars,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,Sabaton,2022-03-04,https://i.scdn.co/image/ab67616d0000b2734973c03327b47148881afe9c,1,6,227000,https://p.scdn.co/mp3-preview/176864aabeb1107a262d072e4cf53e61a8b52a17?cid=9950ac751e34487dbbe027c4fd7f8e99,False,54,SE6HE2200107,,2025-07-20T16:15:48Z
spotify:track:2ZwcsW44oUu4ybx4HY4AwJ,Ragebait,"spotify:artist:142FA3QrrqyAtMd4LcPjqH, spotify:artist:4JX0GdKx8EduY2Ck7qac4H","Zynthesiren, Kasane Teto",spotify:album:6rb1YBHurHp3oVmOlTYed6,Ragebait,spotify:artist:142FA3QrrqyAtMd4LcPjqH,Zynthesiren,2025-12-18,https://i.scdn.co/image/ab67616d0000b2732af407cd7004c02f879ad56d,1,1,198689,https://p.scdn.co/mp3-preview/b0acc33af495cb9e4b1fa4a833c56ab0280310a1?cid=9950ac751e34487dbbe027c4fd7f8e99,True,50,QT6EG2596307,,2025-12-19T16:46:32Z
spotify:track:2Ulpd9UbFfHugslAAJepG8,Randy Dandy Oh,"spotify:artist:2IeMt1qx6ZVt1HFjdfE5tl, spotify:artist:4qLXjZxA7GUcgU8gaS2FP3, spotify:artist:6jDwZUFYUH1dC4xWzOd8QU, spotify:artist:2hwZ6O8nd7zKSUqRhYPo5U, spotify:artist:4IF11U0nzFhAaLDGZH3vSx","Jonathan Young, Annapantsu, Caleb Hyles, Colm R. McGuinness, RichaadEB",spotify:album:7LoQpTi1lx4uH4CDS6HgqC,Sea Shanty Metal,"spotify:artist:2IeMt1qx6ZVt1HFjdfE5tl, spotify:artist:2hwZ6O8nd7zKSUqRhYPo5U, spotify:artist:6jDwZUFYUH1dC4xWzOd8QU","Jonathan Young, Colm R. McGuinness, Caleb Hyles",2024-05-08,https://i.scdn.co/image/ab67616d0000b27327121daa8136d00aa6402726,1,7,199691,https://p.scdn.co/mp3-preview/2b15e1ce8af5c6fbcbfbcaaa4424ac0ca6987363?cid=9950ac751e34487dbbe027c4fd7f8e99,False,39,QZPJ32154515,,2024-05-11T11:49:50Z
spotify:track:154FZIPRVFbDuRK83K8G2b,"Rap is Man's Soul! (From ""Gurren Lagann"")","spotify:artist:4pAgH7ZVMfeEqm11iwwYjA, spotify:artist:5ZU4uV9uJASRDCPaNCLYpd","FalKKonE, Rena",spotify:album:3bWAiptNBhEyo70Y1hAOmU,"Sorairo Days (From ""Gurren Lagann"")",spotify:artist:4pAgH7ZVMfeEqm11iwwYjA,FalKKonE,2023-03-03,https://i.scdn.co/image/ab67616d0000b2732842bf2b02010729b7341403,1,2,179541,https://p.scdn.co/mp3-preview/57c119c8e7e2aaa3c51f01b79e3be4885ffb26e8?cid=9950ac751e34487dbbe027c4fd7f8e99,False,23,QZPJ32240358,,2024-06-17T22:13:02Z
spotify:track:3h8efEQ3MsDESpfeKX1JI4,Red,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,spotify:album:51ejt0sPz42rdY2QtoiSxd,Your Mori.,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,2021-04-04,https://i.scdn.co/image/ab67616d0000b273bfa10b02c2e327512715b08b,1,2,218098,https://p.scdn.co/mp3-preview/3d38c0775fd8cd93dc0448297466f9cc908b2ed0?cid=9950ac751e34487dbbe027c4fd7f8e99,False,45,JPV752004101,,2025-09-22T15:47:43Z
spotify:track:5gnr7HCYdWXuReG0t9owjc,Red Sun (Maniac Agenda Mix),spotify:artist:7n6lG8A060pz97EcLRLC4r,Jamie Christopherson,spotify:album:2baz5WbW2zCCGaGtKbkida,Metal Gear Rising: Revengeance (Original Game Soundtrack) [Vocal Tracks],spotify:artist:7n6lG8A060pz97EcLRLC4r,Jamie Christopherson,2013-02-18,https://i.scdn.co/image/ab67616d0000b273e65ad5e9fc72cba8ddee14a5,1,8,133666,https://p.scdn.co/mp3-preview/afe81c2771eacd0f1e018470dc4986aee2c5bde2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,0,USSR21300195,,2024-10-09T05:35:52Z
